welfare_id,home_status_id
110,1
110,2
111,4
111,1
111,3
112,4
112,1
112,2
112,3
113,2
114,1
115,5
116,1
117,2
117,3
118,2
119,2
120,2
121,5
122,5
123,5
124,2
125,2
126,2
127,2
128,2
129,1
130,5
131,5
132,5
133,5
134,2
135,2
136,2
137,2
138,2
139,5
140,2
141,5
142,5
143,5
144,2
145,2
146,1
146,2
147,2
148,1
149,5
150,5
151,1
151,2
152,2
153,3
154,1
155,5
156,4
156,2
156,3
157,1
157,2
158,5
159,5
160,1
161,2
162,2
163,5
164,2
165,1
166,4
166,2
166,3
167,2
168,3
169,5
170,3
171,2
172,4
172,1
172,2
172,3
173,1
173,2
174,2
175,5
176,1
177,2
178,1
178,2
179,2
180,5
181,5
182,5
183,2
183,3
184,1
185,1
186,1
186,2
187,2
188,2
189,2
190,2
191,2
192,5
193,5
194,1
195,4
195,1
195,2
195,3
